project_id,fiscal_year,operating_unit,region,budget,expenditure,outcome,donor
00012107,2010,"China","Reg Bureau for Asia & Pacific",13368,13368,23,"GEFTrustee,NET"
00012107,2011,"China","Reg Bureau for Asia & Pacific",610,610,23,"GEFTrustee"
00012109,2010,"China","Reg Bureau for Asia & Pacific",46398.32,46367.69,23,"GEFTrustee"
00012114,2010,"China","Reg Bureau for Asia & Pacific",70000,20130,1,"CICETE,NINGXIA,CPR"
00012117,2010,"China","Reg Bureau for Asia & Pacific",312058.66,92129.12,23,"MPU,UNDP"
00012117,2011,"China","Reg Bureau for Asia & Pacific",891886.36,8928.96,23,"MPU"
00012119,2010,"China","Reg Bureau for Asia & Pacific",12800,37160.56,1,"PS,STORA ENSO,UNDP,DANFOSS,GTZ 2007,COCA COLA"
00012121,2010,"China","Reg Bureau for Asia & Pacific",347145,32515.3,23,"GEFTrustee,UNDP"
00012127,2010,"China","Reg Bureau for Asia & Pacific",1500,1419.59,"","UNDP"
00012129,2010,"China","Reg Bureau for Asia & Pacific",0,5049.8,23,"MPU"
00012138,2010,"China","Reg Bureau for Asia & Pacific",650392,211.69,23,"UNDP,GEFTrustee"
00012152,2010,"China","Reg Bureau for Asia & Pacific",70000,65311.54,1,"CPR"
00012157,2010,"China","Reg Bureau for Asia & Pacific",0,0.01,23,"UNFIP,NOR"
00012158,2010,"China","Reg Bureau for Asia & Pacific",0,0.01,1,"UNDP,MOFCOM,CPR"
00012171,2010,"Croatia","Reg Bur for Europe & CIS",151896.58,129086.18,1,"PRIVATESEC,HRV-MHSW,UNDP,UNAIDS,MFVAIS,UNDP,MFVAIS"
00012171,2011,"Croatia","Reg Bur for Europe & CIS",141876.69,118805.99,1,"UNDP,MFVAIS,HRV-MHSW,PRIVATESEC,UNDP,UNAIDS,MFVAIS"
00012175,2010,"Cuba","Reg Bur Latin Amer & Carib",79035.3,69985.23,11,"UNDP,SPA,CUB-SIENA,BERGAMO DE,VIAREGGIO,LIVORNO,CUB-ZCUERO,CUB-ADELAN,CUB-Univyo,BEAZ,NGO(INTL),CAN,COMO DECEN,FAMSI,BEAZ,FOLIGNO DE,CUB-EUSKAL,CECINA DEC,FLORENCIA,ONG-GRET"
00012175,2011,"Cuba","Reg Bur Latin Amer & Carib",34356.58,34356.58,11,"FLORENCIA,CUB-Univyo,UNDP,COMO DECEN,BEAZ,LIVORNO,NGO(INTL),CAN,SPA,CECINA DEC,FAMSI,CUB-EUSKAL,CUB-SIENA,BERGAMO DE,VIAREGGIO,CUB-ZCUERO,CUB-ADELAN,FOLIGNO DE,BEAZ,ONG-GRET"
00012188,2010,"Cuba","Reg Bur Latin Amer & Carib",387581.53,104057.2,23,"GEFTrustee"
00012188,2011,"Cuba","Reg Bur Latin Amer & Carib",240648.87,171754.14,23,"GEFTrustee"
00012189,2010,"Cuba","Reg Bur Latin Amer & Carib",10400.42,10400.42,23,"UN,NOR"
