"hq_co","bureau","operatingunit","awardID","award_title","award_description","start_date","end_date","institutionid","inst_descr","inst_type","inst_type_descr","fiscal_year","budget","expenditure"
"CO","RBAS","LBN","00047448","Environmental Action Plan for Nahr El Bared Camp","Coordinated Support to Unitted Nations Relief & Works Agency for Palestine Refugees: Naher El Bared Camp Reconstruction","2007-05-01 00:00:00","2012-02-29 00:00:00","99999","UNDP","UND","UNDP","2011","231779.12","123817.99"
"CO","RBAS","LBN","00047631","Support to the Achievement of the MDGs","Support to the Acheivement of the MDGs","2007-06-01 00:00:00","2012-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","608030","423307.41"
"CO","RBAS","LBN","00048281","Sustainable Rural Livelihood Development Programme","Sustainable Rural Livelihood Development Programme for Lebanon","2007-11-01 00:00:00","2012-03-31 00:00:00","01830","Ministry Of Agriculture","GOV","Gov Counterpart Institution","2011","132625","94557.79"
"CO","RBAS","LBN","00048409","PIMS 2596: POPs Medical Waste","Demonstrating and Promoting Best Techniques and Practices for Reducing Health-Care Waste to Avoid Environmental Releases of Dioxins and Mercury","2008-03-01 00:00:00","2012-12-31 00:00:00","01838","National Execution","GOV","Gov Counterpart Institution","2011","188313.58","132373.16"
"CO","RBAS","LBN","00049072","Increased Integration of the Disabled","Increased Integration of the Disabled","2008-01-01 00:00:00","2011-03-31 00:00:00","01836","Ministry Of Social Affairs","GOV","Gov Counterpart Institution","2011","1","-3147.94"
"CO","RBAS","LBN","00049117","Flood Risks Management and Water Harvesting","Flood Risks Management and Water Harvesting for Livelihood Recovery in Baalback-Hermel","2008-01-16 00:00:00","2013-06-30 00:00:00","99999","UNDP","UND","UNDP","2011","763899","680911.15"
"CO","RBAS","LBN","00049267","Strengthening the dairy production channel in the North"," ","2008-01-30 00:00:00","2011-06-30 00:00:00","01839","Non-Governmental Organisation","NGL","Local NGO","2011","1980","1562.67"
"CO","RBAS","LBN","00049296","PIMS 1878: Migratory Soaring Birds","Mainstreaming Conservation of Migratory Soaring Birds into Key Productive Sectors Along the Rift Valley/Red Sea flyway","2008-02-26 00:00:00","2013-12-31 00:00:00","01839","Non-Governmental Organisation","NGL","Local NGO","2011","334606","298174.85"
"CO","RBAS","LBN","00049607","Lebanese Women Rights and the Nationality Law","Lebanese Women Rights and the Nationality Law","2008-03-04 00:00:00","2011-06-30 00:00:00","01839","Non-Governmental Organisation","NGL","Local NGO","2011","5550","3354.37"
"CO","RBAS","LBN","00050106","Rubble Removal Nahr El Bared"," ","2008-01-01 00:00:00","2010-12-31 00:00:00","99999","UNDP","UND","UNDP","2011","30000","0"
"CO","RBAS","LBN","00050136","PIMS 3371: Restoring Leb’s Woodland Resources","Safeguarding and Restoring Lebanon’s Woodland Resources.","2008-06-15 00:00:00","2014-05-31 00:00:00","01832","Ministry Of Environment","GOV","Gov Counterpart Institution","2011","260242","157096.04"
